Epoch,Train_loss,Valid_loss
1,0.2120964266076514,1.392566363448682
2,0.13265897659407822,1.2670862214720768
3,0.11863223540493971,1.179018802832866
4,0.11117240151270034,1.107867018900056
5,0.10640415746166225,1.1008856709020725
6,0.10301740332984652,1.0330120929773303
7,0.10059113004475038,0.9954722705094711
8,0.0983875075518065,1.1044086798809576
9,0.09734253965658153,1.1544743743927584
10,0.09487835154248961,1.0044624783854554
11,0.09658763641951881,1.026368081137754
12,0.09522665914558866,0.9619745618623236
13,0.09364341370789724,1.0201239499492922
14,0.09256524963750586,0.9894295887670655
